Category,Name,Symbol,LogoSource,CurrentImageURL,AlternativeSources
Stock,Tesla Inc.,TSLA,Clearbit Logo API,https://logo.clearbit.com/tesla.com,"SeekLogo: Search 'tesla logo', SVGRepo: https://www.svgrepo.com/svg/342836/tesla"
Stock,Amazon.com Inc.,AMZN,Clearbit Logo API,https://logo.clearbit.com/amazon.com,"SeekLogo: Search 'amazon logo', SVGRepo: https://www.svgrepo.com/svg/303206/amazon-2-logo"
Stock,Microsoft Corp.,MSFT,Clearbit Logo API,https://logo.clearbit.com/microsoft.com,"SeekLogo: Search 'microsoft logo', SVGRepo: https://www.svgrepo.com/svg/303197/microsoft-logo"
Stock,Alphabet Inc.,GOOGL,Clearbit Logo API,https://logo.clearbit.com/google.com,"SeekLogo: Search 'google logo', SVGRepo: https://www.svgrepo.com/svg/299510/google-g-2015"
Stock,Nvidia Corp.,NVDA,Clearbit Logo API,https://logo.clearbit.com/nvidia.com,"SeekLogo: Search 'nvidia logo', SVGRepo: https://www.svgrepo.com/svg/424328/nvidia"
Stock,Meta Platforms Inc.,META,Clearbit Logo API,https://logo.clearbit.com/meta.com,"SeekLogo: Search 'meta facebook logo', SVGRepo: https://www.svgrepo.com/svg/426195/facebook-meta"
Stock,JPMorgan Chase & Co.,JPM,Clearbit Logo API,https://logo.clearbit.com/jpmorganchase.com,"SeekLogo: Search 'jpmorgan logo', SVGRepo: Search 'jpmorgan chase'"
Stock,Berkshire Hathaway,BRK.B,Clearbit Logo API,https://logo.clearbit.com/berkshirehathaway.com,"SeekLogo: Search 'berkshire hathaway logo', SVGRepo: Search 'berkshire hathaway'"
Stock,ExxonMobil Corp.,XOM,Clearbit Logo API,https://logo.clearbit.com/exxonmobil.com,"SeekLogo: Search 'exxonmobil logo', SVGRepo: Search 'exxonmobil'"

